"id","job_id","comment"
"3","5","Oqishda oqidigan Studentlar ishga qabul qilinmaydi !!!"
"4","5","Operator telefonda javob beradigan hodim emas!"
"5","8","Erkin grafik"
"6","11","????? ????????? ???"
"7","12","Studentlar ishga qabul qilinmaydi !!!"
"8","15","Oqishda oqidigan studentlar ishga qabul qilinmaydi"
"15","21","Barcha vodiy va vohaliklarni ham ishga chaqiramiz"
"16","22","Kunlik daromadlar oylik kutib o'tiriladi"
"19","20","Mehnat shartnomasi"
"20","20","Obed"
"21","20","xar 15 kunda oylik"
"22","24","3 kun sinov muddati mavjud"
"23","24","Oylik 15 kunlik muddatda to'lanadi"
"24","24","Yotoq xona va yuvish xonasining mavjudligi"
"25","25","3 MAXAL OVQAT YOTISHGA JOY"
"26","25","DUSH"
"27","26","320 minglik xarid kilib, sovgalarga egab buling"
"28","28","Barqaror va yuqori daromad"
"29","28","Doimiy ish û barqaror ish"
"30","29","Kunduzgi studentlar to'g'ri kelmaydi"
"31","29","Barchasi o'z ishing ustalari tomonidan o'rgatiladi"
"32","31","Tushlik 3 mahal issiq ovqat beriladi"
"33","31","Ish vaqti: 9 dan 21 gacha"
"34","33","Ahil jamoa kollektiv"
"35","33","Yuqori darajadagi maosh"
"36","33","Doimiy maoshning ⌡sib borishi"
"37","33","Doimoy ravishdagi ragæbatlantirish va bonuslar"
"38","34","Pelaramaga ham ish bor"
"39","34","Sharoiti yuqori yuqlarga beletiladi"
"40","32","Yotoq xonamiz yo'q"
"41","35","24 ??????? ????? ???????? ?????"
"42","35","?????? ???????? ???????? ?????????????? ????? ??'???????? ???????? $200 ????????"
"43","38","9?? ??????? ?????? ??????? ????? ?????"
"44","39","Yotoqxona mavjud"
"45","39","Ovqatlanish korxona hisobidan"
"46","39","Rasmiy ish joylashuvi"
"47","40","Insonlarni kutib qolamiz..."
"48","41","????????? ????? ??????????, ?????? ???????????? ???????"
"49","41","18 ????? ????? ?????? ?????"
"50","41","?????? ??????? ????? ????????"
"51","42","??????????? ??? ?????????, ????????? ??????????? ???????? ??????"
"52","42","??? ??, ???? ?? ????? ????????????, ???????? ?? ???????????? ????? ????"
"53","42","??? ????? 9:00 ??? 22:00 ???? ?????????, ???? ?????? ??????? ???????"
"54","43","????? ?? ???? ??????? ???? ??????? ????????????????? ???"
"55","43","????? ?????????? ?? ?????????"
"56","44","Ish grafigi: 6/1, 9:00dan 18:00gacha"
"57","44","Jamoa bilan bo'lish va ushbu soha bo'yicha rivojlanish imkoniyati"
"58","44","Bayramlar bilan to'xirlanish"
"59","44","Ish joyi û markaziy Toshkent shahri"
"60","45","Oqishda oqidigan Studentlar ishga qabul qilinmaydi !!!"
"61","46","?????????? ????? ??????? ??????"
"62","46","????? ??????? ???????? ??????"
"63","46","?????? ???? ???? ???? ????? ?????"
"64","47","Operator telefonda javob beradigan hodim emas!"
"65","47","Oqishda oqidigan studentlar ishga qabul qilinmaydi!"
"70","564","?? ?????: 2 ?????: 15.00 ??? 23.00 ????, 1 ?????: 09.00 ??? 18.00 ????"
"71","565","Abet Ujin Ishhona nomidan"
"72","565","15.000 20.000 Beriladi"
"73","566","To'lov kunlik"
"74","566","BEPUL sumka"
"75","566","Ish faqat Toshkent shahrida"
"76","567","Oylik maosh o'z vaqtida beriladi"
"77","567","Ahil jamoa"
"78","567","Ibodatlarga sharoit bor"
"79","567","Soha bo'yicha o'sish imkoniyati"
"80","568","Oylik 2ml snov muddatida, kegin 3000000 + bonus"
"81","569","Sinov mudati bor"
"82","571","Toshkent shaharda istiqomat qilishi shart"
"83","572","???????? ??????"
"84","572","3 ????? ???? ?????"
"85","572","???? ???"
"86","572","?? ??????"
"87","572","????????? ????????? ?????"
"88","572","???? ?????"
"89","573","ASOSIY KANAL 1MLN?"
"90","575","Yosh va kirishimli jamoa"
"91","575","Zamonaviy va qulay joylashuvli ofis"
"92","575","Karyera oÆsishi uchun shaffof sharoit"
"93","576","Anketani to'ldiring @Garant_Anketa_bot orqali"
"94","576","Mo?ljal - Antaliya gostinitsasi"
"95","576","Manzil - Xorazim viloyati, Urganch shahar"
"99","578","Mijozlar bilan yaxshi muomala"
"100","578","Qulay ish sharoitlari"
"101","579","Murojaat qilish vaqti: 24/7"
"102","579","Ikki ta loyihalar qilganman."
"103","580","Minimum age requirement is 18 and above"
"104","580","Meals provided on both shifts"
"105","580","Accommodation available for those from out of town"
"106","580","Work hours are set at 12 hours a day"
"107","581","To'liq ish kuni"
"108","581","Qulay mehnat sharoitlari"
"109","583","Foto va rezume obyatelno"
"110","583","Srochno trebuetsya devushka vozrst ot 18 do 30"
"111","583","Boshqa tillarni bilsa yahshi"
"112","584","18 yoshdan 50 yoshgacha bolgan erkak va ayollar hamda oylalilarni ishga taklif qilamiz"
"113","585","Qatnab ishlash imkoni yoæqligi uchun viloyatliklarni ishga olamiz"
"114","586","Imkon yotib ishlidigan bo'sa zoÆr"
"115","587","????? ?? ????"
"116","587","???? ????? ????? ?????"
"117","587","???????? (????? ???????? ????)"
"118","589","Moslashuvchan jadval"
"119","589","Bepul trening"
"120","589","Martaba o'sishi imkoniyatlari"
"121","589","Uyga yaqin ishlash imkoniyati"
"122","590","Bugunoq ishga chiqing!"
"123","590","Bugungi ishni ertaga qo'yma!"
"124","591","Jadval: 09:00-18:00, 6/1"
"125","591","Birgalikda rivojlanib, 8 million soæmgacha va undan ortiq daromad olish"
"126","592","3 mahal ovqat bilan"
"127","592","Qulayliklar: Yotoq joy bilan tamirlanadi"
"128","592","Sharoiti juda yaxshi holatda"
"129","592","Doimiy ishlaydigan ishchilar kerak"
"130","592","Studentlarni ishga qabul qilmaymiz"
"131","592","2 kun sinov muddatda ishga qabul qilinadi"
"134","594","??? ???????? ??Æ????????? ????? ????????? ?????????? ?????? lider hamkorlar"
"137","598","Ovqatlanish bepul korxona hisobidan"
"138","598","Ish haqi o'z vaqtida oyiga ikki maxal beriladi"
"139","598","YOTOQ JOY YO'Q"
"140","598","Mehnat shartnomasi asosida ishga olinadi"
"141","599","????? ??????? ???????? (????????)"
"143","601","????????? ??????"
"144","601","100$ ??? - ??? ??? ??????? ???? ????????"
"145","603","Opportunity for career growth"
"146","603","Work hours from 20:00 to 02:00"
"147","604","Yaxshi maosh va oÆsish imkoniyati"
"148","604","Samimiy, doÆstona muhit"
"149","604","Shinam ofis va qulay joylashuv"
"150","604","Sotuv sohasida yangi bilimlar o'zlashtirish imkoniyati"
"151","606","???????? ??????"
"152","606","?? ????? 08:00-18:00"
"153","606","???? ??????? ???????"
"154","608","For additional information, contact +998 97 740 91 17"
"155","608","Send resume via Telegram to @GratusServis01"
"156","609","Barcha qulayliklar bor"
"157","609","Shinam ofis axil jamoa"
"158","609","Oz oilamiz bilan qulay ish vaqtlari"
"164","611","Zamonaviy ofis"
"165","611","Qulay sharoitlar"
"166","611","Grafik: 08:30-16:00gacha, 16:00-21:00 gacha, 08:30-19:00 to'liq smen"
"167","611","6/1 ish kuni"
"168","611","Rasmiy ishga joylashuv"
"169","611","Kar'eraviy oæsish imkoniyati"
"170","613","Ish qurollari beriladi yotoqxona bor, auqat beriladi"
"171","614","Tushlik va qoshimcha xarajatlar ishxona xisobidan."
"172","616","Maosh: 2-3mln + undirilgan mikrokreditning narxi (2% - 8%)"
"173","616","Ish vaqti: 09:30-18:30. Tushlik 12:30-13:30"
"174","617",""
"175","621","????? ????"
"176","621","??? ???? ???????? ???? ????????"
"177","621","???? ???????? ???? ???? ????????"
"178","622","Kontakt uchun: @A_Sardor_A"
