"id","job_id","country_code","country","city","full_address","is_remote_work"
"2","5","UZ","O'zbekiston","Toshkent","Toshkent shahri Sergili 4 tumani sugdiona kochasi 21uy (Moljal TURON UN ZAVODI - PRO KAB ZAVODI)","0"
"3","6","UZ","O'zbekiston","Toshkent","","0"
"4","7","UZ","O'zbekiston","Toshkent","","0"
"5","8","UZ","O'zbekiston","Toshkent","","0"
"6","10","UZ","O'zbekiston","Toshkent","???????? ?????? ?????? ????????? ( ???? ????? ????? ??????)","0"
"7","11","UZ","O'zbekiston","Toshkent","???????","0"
"8","12","UZ","O'zbekiston","Toshkent","Toshkent shahri Sergili 4 tumani sugdiona kochasi 21uy (Moljal TURON UN ZAVODI - PRO KAB ZAVODI)","0"
"9","14","UZ","O'zbekiston","Toshkent","N/A","0"
"10","15","UZ","O'zbekiston","Toshkent","Sergili 4 tumani sugdiona kochasi 21uy (Moljal TURON UN ZAVODI - PRO KAB ZAVODI)","0"
"11","13","UZ","O'zbekiston","Samarqand","N/A","0"
"14","21","UZ","O'zbekiston","Toshkent","Yangiyol betonkada","0"
"15","22","UZ","O'zbekiston","Toshkent","","1"
"17","20","UZ","O'zbekiston","Toshkent","Yunusobod, Hasanboy, Tiklanish 10-ko'cha, 16-uy","0"
"18","19","UZ","O'zbekiston","Zangiota","Erkin qfy","0"
"19","23","UZ","O'zbekiston","Toshkent","Chilonzor 7 kv, 179 maktab yonida","0"
"20","24","UZ","O'zbekiston","Toshkent","Sergeli tumani","0"
"21","25","UZ","O'zbekiston","Toshkent","ZANGIOTA TUMANI, NAZARBEK XARAKAT","0"
"22","26","UZ","O'zbekiston","Toshkent","","0"
"23","27","UZ","O'zbekiston","Toshkent","O'rikzor Maxallasi","0"
"24","28","UZ","O'zbekiston","Toshkent","","0"
"25","29","UZ","O'zbekiston","Toshkent","","0"
"26","30","UZ","O'zbekiston","??????","","0"
"27","31","UZ","O'zbekiston","Samarqand","Samarqand viloyati, Samarqand shahri","0"
"28","33","UZ","O'zbekiston","Toshkent","Toshkent shahri, Yakkasaroy tumani Bobur ko?chada joylashgan.","0"
"29","34","RU","Rossiya","Toshkent","","0"
"30","32","UZ","O'zbekiston","Toshkent","Toshkent shahri, Qorasaroy kochasi 263-A","0"
"31","35","RU","Rossiya","?????? ???????","","0"
"32","36","UZ","O'zbekiston","Toshkent","","0"
"33","37","UZ","O'zbekiston","Toshkent","Toshkent shahar Olmazor tumani Qorasaroy ko'chasi, Jomiy bozori.","0"
"34","38","RU","Rossiya","??????????","","0"
"35","39","UZ","O'zbekiston","Toshkent","Olmazor tumani, Qorasaroy ko'chasi","0"
"36","40","UZ","O'zbekiston","Toshkent","Toshkent shahri, Mirzo Ulug'bek Yalong'och, Madaniyat institut","0"
"37","41","UZ","O'zbekiston","Toshkent","??????? ?????? SIGMA ??????-?????","0"
"38","42","UZ","O'zbekiston","Toshkent","??????? ?. ????? ??????? ???? ?. ???????","0"
"39","43","KG","??????????? ????????????","??????","","0"
"40","44","UZ","O'zbekiston","Toshkent","","0"
"41","45","UZ","O'zbekiston","Toshkent","Sergili 4 tumani sugdiona kochasi 21uy (Moljal TURON UN ZAVODI - PRO KAB ZAVODI)","0"
"42","46","UZ","O'zbekiston","Toshkent","??????? ?????, ??????? ??????, ??????????? ?????? 170.","0"
"43","47","UZ","O'zbekiston","Toshkent","Sergili 4 tumani sugdiona kochasi 21uy (Moljal TURON UN ZAVODI - PRO KAB ZAVODI)","0"
"46","564","UZ","O'zbekiston","Samarqand","????????? ?????, ???? ????? ?????? 53, ????????? ?????? 2-?????","0"
"47","565","UZ","O'zbekiston","Toshkent","kokcha Ofis","0"
"48","566","UZ","O'zbekiston","Toshkent","","0"
"49","567","UZ","O'zbekiston","Buxoro","","0"
"50","568","UZ","O'zbekiston","Toshkent","","0"
"51","569","UZ","O'zbekiston","Guliston","Belline office","0"
"53","571","UZ","O'zbekiston","Toshkent","Yunusobod","0"
"54","572","RU","Rossiya","????????????? ?????","","0"
"55","573","UZ","O'zbekiston","Toshkent","","0"
"56","574","UZ","O'zbekiston","Toshkent","","0"
"57","575","UZ","O'zbekiston","Toshkent","Mirzo Ulugbek tumani Zafardiyor 119A","0"
"58","576","UZ","O'zbekiston","Urganch","Az-Zamaxshariy koÆchasi 3-uy","0"
"60","578","UZ","O'zbekiston","Buxoro","","0"
"61","579","UZ","O'zbekiston","Namangan, Toshkent","","0"
"62","580","UZ","O'zbekiston","Andijon","","0"
"63","581","UZ","O'zbekiston","Toshkent","Nazarbek kFI","0"
"64","582","UZ","O'zbekiston","Toshkent","????????? ?????? (???????????, ???????? ??????? ????)","0"
"65","583","UZ","O'zbekiston","Toshkent","nukus 44 kocha, yaka saroy","0"
"66","584","UZ","O'zbekiston","","N/A","0"
"67","585","UZ","O'zbekiston","Toshkent","Mirzo Ulug'bek tumani TTZ traktor zavod orqasida sanoat zona","0"
"68","586","UZ","O'zbekiston","Algaritm","Algaritm 31kv","0"
"69","587","UZ","O'zbekiston","Toshkent","??????? ?????, ??????????? ??????, ??????? ?????????, 2-?????? ??????? ?? ??????? ?????????","0"
"70","588","UZ","O'zbekiston","Toshkent","?? ????? 7.00 ??? 19.00 ????, ??????? ????","0"
"71","589","UZ","O'zbekiston","Toshkent viloyati va shahri","Ohangaron shahri, Angren shahri, Toshkent shahri","0"
"72","590","UZ","O'zbekiston","Toshkent","","0"
"73","591","UZ","O'zbekiston","Toshkent","Toshkent va Toshkent viloyatliklar","0"
"74","592","UZ","O'zbekiston","Toshkent","Telegramdan lakatsiya tashab beriladi","0"
"76","594","Online","O'zbekiston","Toshkent","","1"
"79","597","UZ","O'zbekiston","Toshkent","????? ???????, ??????? ?????","0"
"80","598","UZ","O'zbekiston","Toshkent","Yangi hayot tumani, Chinar (5-metro bekati), Mo'ljal: INDEX AVTO MOTORS","0"
"81","599","UZ","O'zbekiston","Toshkent","????? ?????","0"
"83","601","UZ","O'zbekiston","Andijon","","0"
