"id","job_id","responsibility"
"3","5","Maxsulot qadoqlash (ishchi) ayollarga hos"
"4","5","Master-Operator Stanok ochirib yoqish qolip nastroyka qilish boyicha mutaxasis erkaklarga hos"
"5","6","Ishga oid vazifalarni bajarish."
"6","7","Mas'uliyatli ish tartibini saqlash"
"7","7","Kimyoviy moddalar va materiallar bilan ishlash"
"8","8","Kuryerlik vazifalarni bajarish"
"9","11","??????? ????? ?????????? ?????"
"10","11","?????? ?????????? ????"
"11","12","Master-Operator Stanok ochirib yoqish qolip nastroyka qilish"
"12","12","Maxsulot Qadoqlash"
"13","14","Malakali ish"
"14","14","Halol ish"
"15","14","Rus tilini bilishi kerak"
"16","14","OÆz ishini ustasi boÆlishi kerak"
"17","15","Stanok ochirib yoqish qilish va nastroyka qilish"
"18","15","Maxsulot qadoqlash ishi"
"22","21","Uch maxal ovqat, yotog? joy bn taminlanish"
"23","22","A'zo bo'lish"
"24","22","Layk bosing"
"25","22","Comment yozish"
"26","22","Kino ko'rish"
"27","22","Video tomosha qilish"
"28","22","Prilojiniyalarni yuklab pul ishlash"
"29","22","O'yin o'ynash"
"30","19","2 maxal ovqat"
"31","19","Turar joy mavjud"
"32","19","1/1 smena"
"33","23","Ish tajriba shartmas"
"34","23","Faqat chaqon udaburon bolsa bas"
"35","24","Ish joyini toza va rivojlanayotgan sharoitda saqlash"
"36","24","Texnika va ustanoklarni tuzib chiqish"
"37","26","Kompaniya faoliyatini rivojlantirish"
"38","26","Mijozlarga xizmat ko'rsatish"
"39","26","Xarid ishlarini olib bormoq"
"40","26","Boshqa vazifalarni bajarish"
"41","27","Megabaytlar, qandolat to'rtlash ishlari"
"42","27","Tozalash va qashlash ishlari"
"43","27","Mahsulot olish va tayyorlash jarayonlarida ishtirok etish"
"44","28","Buyurtmalarning xavfsizligi va o'z vaqtida yetkazib berilishini ta'minlash"
"45","28","Buyurtmalarni shahar ichida mijozlarga yetkazib berish"
"46","28","Yetkazib berish bo'yicha hisobotlarni yuritish"
"47","28","Shaxsiy avtomobilning mavjudligi"
"48","28","Haydovchilik guvohnomasi B toifasi"
"49","28","Shaharni yaxshi bilish"
"50","28","Mas'uliyat va punktuallik"
"51","28","Muloqot qobiliyatlari"
"52","28","Toshkent shahrida kuryer sifatida ish tajribasi"
"53","29","Xizmat sifatini oshirish"
"54","29","Ish vaqtlariga rioya qilish"
"55","29","Boshqa hodimlar bilan hamkor bo'lish"
"56","30","???????? ??????? ?????"
"57","31","Ishga mas?uliyatli chaqqon bulishi"
"58","31","O?z ustiga ishlaydigan qizlar busin"
"59","33","Sotuvni amalga oshirish"
"60","33","Kurs haqida malumot berish"
"61","33","Mijozlar bilan muloqot qilish"
"62","34","Kumirni upokofka qilish"
"63","34","Qoshimcha ishlarni bajarish"
"64","32","Profesional mebeltar, ustalikda tajribaga ega bo'lish"
"65","32","Tushlik va kollektiv yig'ilishlar ishxona hisobidan ishlash"
"66","35","????? ???????? ????????"
"67","35","????????????? ????????"
"68","35","?????? ????"
"69","35","???????? ????"
"70","35","????? ????? ???????"
"71","36","???? ?????? ?? ?????? ???????"
"72","36","?????? ???????? ?????"
"73","36","??????? ?? 18-35 ???"
"74","36","??????????????? ??????? ???"
"75","37","Korxona hududidagi bino"
"76","37","Yangi hodimlar uchun sohani o'rgatish (bepul)"
"77","37","Yigitlar uchun yotoqxona mavjud"
"78","37","Yosh va kirishimlik jamoa"
"79","37","Rasmiy ish joylashuvi"
"80","37","Ovqatlanish korxona hisobidan"
"81","38","????????? ???? ??????? ( ??????????)"
"82","38","???????? ????? ???????"
"83","38","???????????? ????? (?????? ????)"
"84","38","?????????? ????? (?????????? ????? ????? ??????)"
"85","38","?? 100% ???????? ????? ????? ??????? ?????? ??????"
"86","38","???????? ??????? ????????"
"87","38","???? ????? ???? ????? ?????? ??????? ????? ??????"
"88","38","?????? ???????? ??? ?????? ?????? ???????? ???????????? ??? ??????? ????????? ??????????? ????????."
"89","39","Mas'uliyat bilan jamoda ishlash"
"90","39","Yangi hodimlar uchun sohani o'rgatish"
"91","40","Ish faoliyati (Texnikasi)"
"92","40","Masterlarimiz tomonidan 3 Kun davomida bepul o'rgatiladi."
"93","41","?????????? ????? ?????"
"94","41","???????? ???????? ?????? ??????"
"95","42","???????? ?? ??????? ?????"
"96","42","?????? (??????)"
"97","42","?????????"
"98","42","????? (?????, ?????)"
"99","42","????? (?????)"
"100","43","????? ?????????? ?? ?????? ????????? ?????? ?????"
"101","43","????????? ??????????? ?az ????larini bajarish"
"102","44","Kompaniya xizmatlarini sotish"
"103","44","CRM-tizimida ishlash"
"104","45","Maxsulot Qadoqlash (ishchi) ayollarga hos"
"105","45","Operator telefonda javob beradigan hodim emas!"
"106","45","Master-Operator Stanok ochirib yoqish qolip nastroyka qilish boyicha mutaxasis erkaklarga hos"
"107","46","??????? ???????????? ????? ???????? ?????"
"108","46","???????? ????? ?????"
"109","46","??????? ??????????? ???????"
"110","47","Master-Operator Stanok ochirib yoqish qilish boyicha mutaxasis erkaklarga"
"111","47","Maxsulot qadoqlash (ishchi) ayollarga"
"118","564","??????? ??????"
"119","564","Xaridorlarga xizmat ko'rsatish"
"120","565","??????? ???????"
"121","565","??????? ??????????"
"122","565","??????? ??????????"
"123","566","O'zingiz ishingizni tanlash va erkin grafikda ishlovchilik."
"124","566","Avtomobilda, velosipedda yoki piyoda mahalliy mahsulotlarni yetkazish."
"125","567","O'ziga va jamoaga bo'lgan talabchanlik"
"126","567","Topshirilgan ishni aniq bajarishi"
"127","567","Menejment haqida tushunchasi borligi"
"128","567","Kirishimlilik"
"129","567","Insoniylik jihatlari"
"130","568","Yashab ishlash sharoyiti bor"
"131","569","Hech qanday ≥qishda ≥qmaydigan"
"132","569","Kompyuter, ofis dasturlaridan foydalana olish (kompyuteri b≥lishi shart)"
"133","569","Ishga doimo formada va kechikmay kelish"
"134","569","Mijozlar bilan tez chiqishib ketish"
"135","569","O'zbek hamda rus tillarida ravon so'zlasha olish"
"136","569","Sotuv soxasida 6 oylik tajribasi b≥lishi"
"137","571","O?zbek tilini 100% bilish"
"138","571","Hushmuomala"
"139","571","MasÆulyatli"
"140","571","Ishga kechikmaslik"
"141","572","??????????"
"142","572","???????"
"143","572","????????"
"144","572","????????"
"145","572","????????????"
"146","572","?????????"
"147","572","?????????????????? ?????????"
"148","574","??????? ????????? ?????????????? ???? ?????"
"149","575","Call-markaz orqali sotuvlarni amalga oshirish"
"150","576","Ish vaqt jadvali - 08:00 dan 19:00 gacha"
"151","576","Mas'uliyatli bo'lishi"
"153","578","Ish sharoitlariga rioya"
"154","578","Muomala qilish"
"155","578","Ibodatlarga sharoit bor"
"156","579","Jamoa bilan ishlash"
"157","579","Bilim oshirish"
"158","580","Salad preparation"
"159","580","Cleaning"
"160","580","Host/hostess tasks"
"161","580","Dishwashing"
"162","580","Waiter/waitress duties"
"163","580","Bartending"
"164","581","Material tayyorlash"
"165","581","MDF va LDSP bilan ishlash"
"166","581","Mebel yig'ish"
"167","582","????????? ????????"
"168","582","????????? ??? ?????"
"169","582","?? ???????? ??????"
"170","583","Xonani tozalash"
"171","583","Reseption vaqarini borish kirib kelish"
"172","583","Reseptionga aurimiy qizlarni ishga olish"
"173","584","Gosht bolaklarga bolish"
"174","584","Saralovchilik"
"175","584","Qassoblik"
"176","584","Qadoqlovchilik"
"177","584","Inkubator ochiruvchilik"
"178","584","Veterinarlik"
"179","584","Goshtni suyagidan ajratish"
"180","584","Tovuq parvarishlash"
"181","584","Oshpazlik"
"182","584","Farroshlik"
"183","585","Ish vaqti 08:00 da 20:00 gacha"
"184","585","Naklenka yopishtirish"
"185","586","Ish va yotog'i sharoitga rioya etish"
"186","586","Yosh qizlar uchun xizmat ko'rsatish"
"187","586","Detskiy koÆylak ishlab chiqarish"
"188","587","??????? ????????????? ?????"
"189","587","????? ?? ??????????? ???? ?????"
"190","587","?????????? ???????? ?????"
"191","588","?? ????? ???????? ???????, ????? ????? ???????"
"192","589","Ishga qabul qilish"
"193","589","Anket to'ldirish"
"194","589","Mamnuniyatni ta'minlash"
"195","590","Kuryerlik qilish avtomobilda, velosipetda yoki piyoda"
"196","591","Hududni nazorat qilish va AKBni oshirish"
"197","591","Kundalik hisobot"
"198","591","Konsignatsiyani nazorat qilish va to'lash"
"199","592","Ish jadvalida bo'lish"
"200","592","Koæylakka yopishtirish"
"203","594","Make qilish"
"204","594","Ishda qatnashish"
"210","599","??????????? ????? ??????? ?????"
"211","599","?? ??????????? ??? ?????"
"212","599","???? ????????? ?????"
"213","599","??????????? ?????"
