"id","is_job_vacancy","message_id","job_name","company_name","job_type","job_salary","job_descriptions","input_language","job_date","is_active","is_verified","created_at","updated_at"
"5","1","1","Atir Sovun va shampun ishchi","EVERMORE CO MCHJ","Full-Time","2 500 000 - 3 500 000 som (Erkaklar uchun), 2 200 000 - 2 500 000 som (Ayollar uchun)","Atir Sovun va shampun ishlab chiqarishda ishchi","uz","2024-09-21 15:17:58","1","0","2024-09-21 15:17:58","2024-09-21 15:17:58"
"6","1","10","Rustilini ravon biluvchi","Sotuv ofisi","Full-Time","3.500.000 oylik","Qiz bola uchun sotuv ofisiga rustilini ravon biluvchi kerak.","uz","2024-09-21 15:21:45","1","0","2024-09-21 15:21:45","2024-09-21 15:21:45"
"7","1","5","Uy hizmatchisi","not defined","Full-Time","4 000 000 so'mdan 6 000 000 so'mgacha","Uy ishlari, taom pishirish, tozalash, uyni parvarish qilish","uz","2024-09-21 15:21:46","1","0","2024-09-21 15:21:46","2024-09-21 17:06:09"
"8","1","12","Kuryer","Yandex","Full-Time","5.000.000 dan - 12.000.000 gacha daromad qiling","Kafe restoranlardan ovqat yetkazib berish xizmati.","uz","2024-09-21 15:21:46","1","0","2024-09-21 15:21:46","2024-09-21 15:21:46"
"10","1","3","?????????? ?????? ????? ??????? ?????? ????","Maxima Ecoplast","Full-Time","3 ??? ??? 6 ??? ????","?????????? ????? ??????? ?????? ????? ??????? ?????","uz","2024-09-21 15:21:46","1","0","2024-09-21 15:21:46","2024-09-21 15:21:46"
"11","1","2","?????? ??????????","???? ????? ????????? ??????","Full-Time","?????? 300 ???? 400 ????, ????? 9.000.000 ??? 15.000.000 ????","?????? ??????? ????????? ??? ???????????????? ???? ?? ???????? ???? ?????? ?????.","uz","2024-09-21 15:21:46","1","0","2024-09-21 15:21:46","2024-09-21 15:21:46"
"12","1","4","Atir Sovun va shampun ishlab chiqarish korxonasi ishchisi","EVERMORE CO","Full-Time","2 200 000 som dan 3 500 000 som gacha","Yigit va qizlarni ishga taklif etiladi. 20-35 yosh chegarasida. Maxsus kiyimlar va tushlik beriladi. Ish vaqti: 9:00 18:30 gacha.","uz","2024-09-21 15:21:46","1","0","2024-09-21 15:21:46","2024-09-21 15:21:46"
"13","1","24","Usta","N/A","Full-Time","4.000.000-4.500.000","Oldin ishlagan ustalar kerak","uz","2024-09-21 15:21:46","1","0","2024-09-21 15:21:46","2024-09-21 15:21:46"
"14","1","39","Xususiy Universityga call sentrga ish","N/A","Full-Time","3-4 mln","Xususiy Universityga call sentrga ishga taklif etish.","uz","2024-09-21 15:21:46","1","0","2024-09-21 15:21:46","2024-09-21 15:21:46"
"15","1","7","Atir Sovun va shampun ishlab chiqaruvchisi","EVERMORE CO MCHJ","Full-Time","Erkak kishiga 2 500 000 som dan 3 500 000 som gacha, Ayol kishiga 2 200 000 som dan 2 500 000 som gacha","Yigit va qizlarni ishga taklif etish.","uz","2024-09-21 15:21:46","1","0","2024-09-21 15:21:46","2024-09-21 15:21:46"
"19","1","18","Plastmasa ishchisi","ABU-BAKR plast","Full-Time","2,500,000 so'm","Plastmasa ishlab chiqazish sehiga ish","uz","2024-09-21 15:21:47","1","0","2024-09-21 15:21:47","2024-09-21 15:21:47"
"20","1","35","Tikuvchi","MUKARAM","Full-Time","Kelishiladi","Ayollar uychi kiyimi tikiladi","uz","2024-09-21 15:21:47","1","0","2024-09-21 15:21:47","2024-09-21 15:21:47"
"21","1","25","Kompyuter Operatori","Oziq Ovqat Dokon","Full-Time","3 million - 5 million gacha","Kompyuterni kirdi chiqdini bla shartnomalariga amal qilish","uz","2024-09-21 15:21:47","1","0","2024-09-21 15:21:47","2024-09-21 15:21:47"
"22","1","36","Online digital marketing assistant","Millionerka_1","Part-Time","300.000 so'mgacha","Online daromadga yordam berish, ijtimoy tarmoqlarda faollik ko'rsatish","uz","2024-09-21 15:21:47","1","0","2024-09-21 15:21:47","2024-09-21 15:21:47"
"23","1","41","Pishiriq sehiga","Not specified","Full-Time","2.800.000 dan","Yotoq joyi bor, 3 mahal ovqat bor","uz","2024-09-21 15:21:47","1","0","2024-09-21 15:21:47","2024-09-21 15:21:47"
"24","1","33","Sim setka ishlab chiqarish texnika va ustanoklari","N/A","Full-Time","3.000.000-4.500.000","Sim setka ishlab chiqarish texnika va ustanoklari uchun ish","uz","2024-09-21 15:21:47","1","0","2024-09-21 15:21:47","2024-09-21 15:21:47"
"25","1","30","CHIPS VA SUXARIK ISHLAB CHIQARISH","Not provided","Full-Time","2 500 000 - 5 000 000","O'G'IL VA QIZLARNI ISHGA TAKLIF QILAMIZ CHIP VA SUXARIK ISHLAB CHIQARISH SEHIGA","uz","2024-09-21 15:21:48","1","0","2024-09-21 15:21:48","2024-09-21 15:21:48"
"26","1","22","Menedjer","ERSA? Turkiya Karparatsiyasi","Full-Time","Oylik naxt","Musulmon kompaniyada o'z bilimlaringizni kengaytiring va daromad olish imkoniyatiga ega bo'ling.","uz","2024-09-21 15:21:49","1","0","2024-09-21 15:21:49","2024-09-21 15:21:49"
"27","1","11","Qandolat fabrikasi ishchisi","Murad'ss","Full-Time","4.500.000 so'mdan boshlanadi","Erkaklar va ayollarni to'g'ri qashlash, mahsulot olish va yuk tayyorlash ishlariga yordam berish.","uz","2024-09-21 15:21:49","1","0","2024-09-21 15:21:49","2024-09-21 15:21:49"
"28","1","31","Bo'sh karzatuvchi","Fish and Bread tez ovqatlanish restorani","Full-Time","4,500,000","Kuryer bo'yicha ish","uz","2024-09-21 15:21:49","1","0","2024-09-21 15:21:49","2024-09-21 15:21:49"
"29","1","16","Kassir, Qadoqlovchi, Pizza tayyorlovchi oshpaz","Chopar Pizza","Full-Time","2.400mln - 4.000mln gacha","Kassir (Russ tilini biladigan), Qadoqlovchi, Pizza tayyorlovchi oshpaz lavozimlariga taklif qilinadi.","uz","2024-09-21 15:21:49","1","0","2024-09-21 15:21:49","2024-09-21 15:21:49"
"30","1","27","???????","??????????? ?????????","Full-Time","Kelishiladi","?USUSIY KLINIKAGA ish","uz","2024-09-21 15:21:49","1","0","2024-09-21 15:21:49","2024-09-21 15:21:49"
"31","1","9","Yosh chegarasi (18-25 gacha)","Magazinlar Samarqand Siti yonida","Full-Time","2 000 000 mln zo?r savdo qilganlar 500 ming avans oladi bonus.","Samarqand Siti yonida Joylashgan Magazinlarga ish berish","uz","2024-09-21 15:21:49","1","0","2024-09-21 15:21:49","2024-09-21 15:21:49"
"32","1","40","Korpus Mebel Ustalari va Shukurkachilar","Azko","Full-Time","2.000.000 - 10.000.000","Korpus mebel ustalari va shukurkachilar ishga taklif olindi.","uz","2024-09-21 15:21:49","1","0","2024-09-21 15:21:49","2024-09-21 15:21:49"
"33","1","21","Operator va Sotuv menedjerligi","N/A (not specified)","Full-Time","3.000.000 dan 10.000.000 gacha","Xushmuomalali va kirishimli ayollar va qizlar uchun uproduction ish o`rnini ta`qiq qildik.","uz","2024-09-21 15:21:49","1","0","2024-09-21 15:21:49","2024-09-21 15:21:49"
"34","1","38","Kumir zavodi ish o'rinlari","Anonim kompaniya","Full-Time","66.000 p - 140.000 p","Kumir zavodiga ish o'rinlari","uz","2024-09-21 15:21:49","1","0","2024-09-21 15:21:49","2024-09-21 15:21:49"
"35","1","37","????? ???????","?????????? ?????? ??????????? ?????????","Full-Time","$750-$1250","????? ??????? ???????? ??????? ???????","uz","2024-09-21 15:21:49","1","0","2024-09-21 15:21:49","2024-09-21 15:21:49"
"36","1","20","???????? ???????, ??????, ?????, ????????","??? BURGER","Full-Time","????????","????????? ????, ????????????? ???????, ????? ? ?????????, ????????????? ??????? ?????","uz","2024-09-21 15:21:49","1","0","2024-09-21 15:21:49","2024-09-21 15:21:49"
"37","1","34","Gofra qutilari ishlab chiqarish korxonasiga ishchilar","N/A","Full-Time","2.000.000 - 5.000.000","Gofra qutilari ishlab chiqarish korxonasida ish joyi","uz","2024-09-21 15:21:49","1","0","2024-09-21 15:21:49","2024-09-21 15:21:49"
"38","1","23","?? ????? ??? ( ????? ???)","?? ???????","Full-Time","55000?-100000?(600$-1000$)","???????? ????????? ????? ????? ?? ??????","uz","2024-09-21 15:21:49","1","0","2024-09-21 15:21:49","2024-09-21 15:21:49"
"39","1","19","Gofra qutilari ishlab chiqarish korxonasiga ishga qabul","Gofra qutilari ishlab chiqarish korxonasi","Full-Time","Belgilanmagan","Gofra qutilarini ishlab chiqarish korxonasida ish joylari","uz","2024-09-21 15:21:49","1","0","2024-09-21 15:21:49","2024-09-21 15:21:49"
"40","1","32","SAVDO VAKILLAR","Unifour liberty","Full-Time","3.500.000 dan 7.500.000 gacha","SAVDO VAKILLAR (YIGIT VA QIZLARNI)","uz","2024-09-21 15:21:51","1","0","2024-09-21 15:21:51","2024-09-21 15:21:51"
