"id","job_id","occupation"
"3","5","Atir Sovun va shampun ishchi"
"4","5","Master-Operator Stanok"
"5","6","Rustilini"
"6","7","Uy hizmatchisi"
"7","8","Kuryer"
"8","11","?????????"
"9","12","Ishchi"
"10","12","Master-Operator"
"11","14","Call Center Agent"
"13","21","Kompyuter Operatori"
"14","22","Online marketing"
"15","22","Digital marketing"
"18","20","Tikuvchi"
"19","24","Sim setka ishlab chiqarish"
"20","25","Chip va Suxarik ishlab chiqarish"
"21","26","Menedjer"
"22","27","Xizmat qilish"
"23","27","Ishchilar"
"24","28","Oshpaz"
"25","28","Kuryer"
"26","28","Posudamoykaga"
"27","28","Logist"
"28","28","Texnichka tozaluvchi"
"29","28","Ofitsiant"
"30","29","Kassir"
"31","29","Qadoqlovchi"
"32","29","Oshpaz"
"33","33","Operator"
"34","33","Sotuv menedjer"
"35","34","Kumir ishchi"
"36","32","Mebel Ustasi"
"37","32","Shukurkachi"
"38","35","????? ???????"
"39","36","???????? ???????"
"40","36","??????"
"41","36","?????"
"42","36","????????"
"43","37","Production Worker"
"44","38","????? ???"
"45","39","Ishchi"
"46","40","SAVDO VAKILLAR"
"47","41","????????"
"48","42","?????????? ????? ????? ??????? ??????????"
"49","43","???????"
"50","44","Sotuv Menejeri"
"51","45","Ishchi"
"52","45","Operator"
"53","45","Master-Operator"
"54","46","????? ????????"
"55","47","Atir Sovun va Shampun ishchi"
"56","47","Master-Operator Stanok ochirib yoqish mutaxasis"
"63","564","????????????"
"64","564","??????"
"65","564","??????"
"66","565","????????"
"67","565","???????????"
"68","565","????????"
"69","566","Kuryer"
"70","567","Menejer"
"71","569","Operator"
"72","571","Operator"
"73","572","????????????"
"74","572","????????"
"75","572","?????????"
"76","572","???????"
"77","572","?????????????????? ?????????"
"78","572","??????????"
"79","572","????????"
"80","574","Construction Worker"
"81","575","Sotuv Operatori"
"82","576","Marketing Specialist"
"83","576","Driver"
"84","576","Salesperson"
"85","576","Furniture Maker"
"86","576","Warehouse Worker"
"88","578","Sotuvchi"
"89","578","Consultant"
"90","579","Web Developer"
"91","580","Waiter"
"92","580","Waitress"
"93","580","Dishwasher"
"94","580","Cleaner"
"95","580","Host"
"96","580","Bartender"
"97","580","Salad maker"
