"id","job_id","skill"
"4","5","Oylik ish tajribasiga ega bo'lish"
"5","5","Ish vaqti 9:00 - 18:30"
"6","5","Yosh chegarasi 20-35"
"7","6","Rustili bo'lish"
"8","6","18-35 yoshlar uchun"
"9","7","Kimyoviy moddalar va materiallar bilan ishlash qobiliyati"
"10","7","Taom pishirishni bilish"
"11","7","Ish joida kolib ishlash tajribasi"
"12","8","Avtomobil, Velosiped, Piyoda bilan ishlash"
"13","11","?????? ??????? ???????"
"14","11","?? 20-35 ???????"
"15","14","Rus tili bilishi"
"16","21","Xisob ketobga yaxshi"
"17","21","Xalol o?z ishini ustasi"
"18","21","Bilib-bilib ishini qilishi"
"19","22","Sotsial tarmoqlarda faollik"
"20","22","Kompyuter bo'yicha bilim"
"21","24","Qiziqishlar va maslahat olishga tayor odam"
"22","24","18-26 yoshdagi yigitlar"
"23","25","Xushmuomalali"
"24","25","Halol va Mas?uliyatli"
"25","26","Teamwork"
"26","26","Mijozlar bilan muloqot qilish qobiliyati"
"27","26","Ishning ustuvorligi"
"28","26","Kompyuter bilimi"
"29","27","Ishchi majburiyati"
"30","27","18-35 yosh oralig'ida"
"31","27","Issiq ovaqtga tayyor bo'lish"
"32","29","Russ tili bilishi"
"33","29","18-30 yoshgacha bo'lish"
"34","30","?????????"
"35","30","???????????"
"36","30","?? ?????????"
"37","33","Intiluvchan va muomala madaniyati"
"38","33","╒zbek tilidagi ravon nutq"
"39","33","Halollik va ma'suliyat"
"40","34","Ish bilimi kerak emas"
"41","34","Yosh: 18-55"
"42","32","Tajribaga ega korpus mebel ustalari"
"43","32","Ish tartibi joylash mavzusida bilim"
"44","35","??? ???? ??????"
"45","35","18-55 ????? ??????"
"46","37","Mas'uliyat bilan jamoda ishlash"
"47","37","Kirishimlik"
"48","37","Hushmuomila"
"49","38","???? ??????? ?????"
"50","38","????? ????????? ???? ?????"
"51","38","???? ?????????? ?????"
"52","39","18-45 yoshdagi yigitlar va qizlar uchun"
"53","39","Kirishimlik"
"54","39","Jamoda ishlash uchun yosh va kirishimlik jamoa"
"55","39","Hushmuomila"
"56","40","Qoidalarga rioya qilish"
"57","40","Gapga usta va Xushmuomila"
"58","40","Ishga bo'lgan ma'suliyat"
"59","40","O'zbek tilida ravon so'zlashuv"
"60","40","Optimist va O'zi fikriga ega"
"61","41","????? ?????? ????? ??????"
"62","41","???????? ??????????"
"63","41","?????????????"
"64","42","??????? 6 ?? ?????? ??? ?????"
"65","42","?????? 2 ?? ?????? ??? ?????"
"66","42","?? ???????? 22-40 ??"
"67","42","?? ??????? ?????????? ?????????????"
"68","43","?????????? ?????????"
"69","43","???????? ?????????? ????????"
"70","44","Sotish bilan bog'liq dasturlar hakida bilim"
"71","44","1-3 yil tajriba"
"72","44","Kompyuter va internetga bo'sh va xususi ta'sir"
"73","44","Adolatli va ish joyida jamoaviy xavfsizlik"
"74","45","Oylik ish tajribasiga qarab kelishiladi"
"75","45","Yosh chegarasi 20-35"
"76","46","??????????"
"77","46","??????? ??????? ????? ?????"
"78","46","??????????"
"79","47","20-35 yosh araligida"
"80","47","Oylik ish tajribasiga ega bo'lish"
"83","564","Tajribali ishchi"
"84","564","Til biliw"
"85","564","Sotish marifatlari"
"86","564","Savdob belgilari"
"87","565","22-33 yosh"
"88","566","Kelgusi bo'lishi"
"89","566","O'zingiz ish yuritingizni tanlash imkoniyati"
"90","566","18-45 yosh"
"91","569","Sotuv soxasida tajribasi"
"92","569","Rus va O'zbek tillarida ravon so'zlash"
"93","569","Kompyuter bilimi"
"94","571","O?zbek tilini 100% bilish"
"95","575","O'zbek tilda ravon so'zlashish"
"96","576","18 dan 32 yoshgacha"
"97","576","Shu sohaga qiziqadiganlar"
"98","576","Ish tajribasi - muhim"
"101","578","22-28 yoshgacha"
"102","578","Chaqqonlik"
"103","578","Kirishimlilik"
"104","578","Nisbatdan talabchanlik"
"105","579","Html"
"106","579","Sass"
"107","579","Mui Javascript"
"108","579","Css"
"109","579","Tailwindcss"
"110","579","Bootstrap"
"111","579","Typescript"
"112","579","Reactjs"
"113","579","Mongodb"
"114","579","Github"
"115","579","Git"
"116","581","Tajribali"
"117","581","Jismoniy holatda yaxshi bo'lgan"
"118","581","Mas'uliyatli"
"119","582","???????????? ???????"
"120","582","???????? ???????"
"121","583","Uzbek va Rus tillarini bilish"
"122","583","Rasm va rezume ehtiyojlarini tushunish"
"123","585","18 dan 30 yoshgacha"
"124","585","Qatnashish uchun qizlar va ayollar"
"125","586","Yotib ishlidigan boÆlsa zoÆr"
"126","586","Ishga kirish"
"127","586","Imkon qadar yosh qizlar"
"128","586","Chaqqon va masÆulyatli"
"129","587","?????????????"
"130","587","??? ?????? ????? ????????"
"131","587","???????? ??????????? ???? ?????"
"132","588","??? 19 ??? 43 ????"
"133","588","??????? ????? ?? ????????? ??????? ?????"
"134","589","21 yoshdan yuqori ayol-qizlar uchun"
"135","589","18 yoshdan yuqori erkaklar uchun"
"136","591","1 yildan boshlab ish tajribasi"
"137","591","18 yoshdan 35 yoshgacha"
"138","591","Savdo qobiliyati"
"139","592","Qulaylik bilan ishlay olish"
"140","592","Fe'l emaslik"
"141","592","Harakatli"
"142","594","Mijozlarni mukammallik bilan xizmat ko'rsatish"
"143","594","Diqqatga sazovor va sabrli bo'lish"
"144","594","Ma'lumotnomaiy bilimlarga ega bo'lish"
"150","599","???? ????????? ??????"
"151","599","?? ????????? (?????? 3 ??)"
"153","601","????????? ???"
"154","603","HTML"
"155","603","Sass"
"156","603","CSS"
"157","603","Bootstrap"
"158","603","Node Js"
"159","603","React Js"
"160","603","Figma"
"161","603","Angular"
"162","603","Git"
"163","603","JavaScript"
"164","604","Call-center orqali sotuvda kamida 1 yillik tajriba"
"165","604","Xushmuomala bo'lish"
"166","604","Yaxshi muhitda karyera qurishni xohlash"
"167","605","Nginx"
"168","605","Postgresql"
"169","605","Drf"
"170","605","Python"
"171","605","Oop"
"172","605","Sqlalchemy"
"173","605","Aiogram"
"174","605","Django"
"175","605","Linux"
"176","605","Docker"
"177","606","?? ????? ??????? ???????"
"178","606","18-35 ?????? ?????? ?? ????????"
"179","607","Smart Up ????????????? 2 ?????? ????????? ???"
"180","607","??????? ??????? ??????"
"181","607","20-35 ?? ????????? ????? ????"
"182","607","?????? ????? ???????????? ???"
"183","608","Ages 18-25"
