"id","job_id","keyword"
"6","5","ish"
"7","5","shampun"
"8","5","Atir Sovun"
"9","5","stanok"
"10","5","mutaxasis"
"11","6","Rustilini"
"12","6","Qiz bola"
"13","6","Ishga"
"14","6","Oylik"
"15","7","Uy hizmatchisi"
"16","7","Toshkent"
"17","8","Toshkent"
"18","8","kuryer"
"19","8","ish"
"20","8","Yandex"
"21","8","daromad"
"22","10","ish"
"23","10","Maxima Ecoplast"
"24","10","??????????"
"25","11","??"
"26","11","??????"
"27","11","???????"
"28","12","ish"
"29","12","Toshkent"
"30","12","shampun"
"31","12","kiyimlar"
"32","12","tushlik"
"33","14","Toshkent ishlari"
"34","14","call sentrga ish"
"35","14","Xususiy Universityga ish"
"36","13","Samarqand"
"37","13","Usta"
"38","13","Yoshi"
"39","13","Erkaklar"
"40","15","yigit"
"41","15","ish"
"42","15","qiz"
"43","15","toshkent"
"51","21","Kompyuter"
"52","21","Operator"
"53","22","daromad"
"54","22","marketing"
"55","22","online"
"56","22","ijtimoy tarmoqlar"
"61","20","Tikuvchi"
"62","20","MUKARAM"
"63","20","Toshkent"
"64","19","ABU-BAKR plast"
"65","19","Zangiota"
"66","19","Erkin qfy"
"67","19","plastmasa ishchisi"
"68","23","Pishiriq sehiga"
"69","23","Toshkent"
"70","23","Ish"
"71","24","Sim setka ish"
"72","24","Toshkent"
"73","24","Yosh 18-26"
"74","25","Ish"
"75","25","Chip va Suxarik ishlash"
"76","25","Toshkent"
"77","25","Chip va Suxarik Ishchi"
"78","26","Menedjer"
"79","26","ERSA?"
"80","26","Kompaniya Turkiya"
"81","27","Qandolat fabrikasi"
"82","27","ish"
"83","27","vacancy"
"84","27","Toshkent"
"85","28","ish"
"86","28","bo'sh o'rinda ish"
"87","28","kuryer ishi"
"88","29","Kassir"
"89","29","Chopar Pizza"
"90","29","Pizza tayyorlovchi oshpaz"
"91","30","??????????? ?????????"
"92","29","Qadoqlovchi"
"93","30","??????? ??"
"94","30","??????"
"95","31","Magazin"
"96","31","Qizlar"
"97","31","Samarqand"
"98","33","Xushmuomalali ayollar"
"99","33","Operator"
"100","33","Toshkent"
"101","33","Sotuv menedjer"
"102","34","Kumir zavodi"
"103","34","Ish o'rinlari"
"104","34","Abyom"
"105","34","Rossiya"
"106","32","Ish"
"107","32","Usta"
"108","32","Toshkent"
"109","32","Korpus Mebel"
"110","35","?? ????????"
"111","35","??????"
"112","35","????? ???????"
"113","36","???????"
"114","36","????????"
"115","36","????????"
"116","36","????????"
"117","36","??????"
"118","37","Toshkent"
"119","37","Gofra qutilari"
"120","37","korxona"
"121","37","ish"
"122","38","??"
"123","38","??????"
"124","38","??????????"
"125","38","?????"
"126","39","korxona"
"127","39","ish"
"128","39","qutilar ishlab chiqarish"
"129","39","Toshkent"
"130","39","Qorasaroy"
"131","39","Olmazor"
"132","40","Unifour liberty"
"133","40","SAVDO VAKILLAR"
"134","40","Toshkent"
"135","40","Ish"
"136","40","Oylik maosh"
"137","41","Prospero ??????????"
"138","41","????? ?????????"
"139","41","?????? SIGMA ??????-?????"
"140","42","?????????? ?????"
"141","42","??????"
"142","42","??????????? ????? ???????"
"143","42","??????"
"144","42","?????????"
"145","43","???????"
"146","43","?????"
"147","43","????????????"
"148","44","Sotuv Menejeri"
"149","44","Toshkent"
"150","44","SHARK SALES"
"151","45","Ish"
"152","45","Atir Sovun"
"153","45","Shampun"
"154","45","Korxona"
"155","46","????? ????????"
"156","46","??"
"157","46","????? ?????"
"158","46","??????? ????????"
"159","47","ish"
"160","47","shampun"
"161","47","atir"
"162","47","korxona"
"169","564","???????? ????????????"
"170","564","?????????"
"171","564","??"
"172","565","bolalar dokoni"
"173","565","ish"
"174","565","uy joyi"
"175","565","bola ishi"
"176","566","Yandex.Eda"
"177","566","Kuryer"
"178","566","Toshkent"
"179","567","ish"
"180","567","Menejerlik"
"181","567","IQRO"
